n,iterations,weight,no_vertices,time,n_edges
2,0.9999999999999999,72.99999999999999,0.9999999999999999,0.0,0.9999999999999999
3,1.9999999999999998,77.99999999999999,0.9999999999999999,0.00010008811950683594,1.9999999999999998
4,1.9999999999999998,26.999999999999996,0.9999999999999999,0.0,5.0
5,5.999999999999999,291.0,5.0,0.00010011196136474609,10.999999999999998
6,11.999999999999998,448.9999999999999,5.999999999999999,0.0,18.000000000000004
7,11.999999999999998,328.00000000000006,7.000000000000001,0.0003003120422363281,23.000000000000004
8,15.999999999999998,348.99999999999994,7.999999999999999,0.00010015964508056641,28.000000000000004
9,21.000000000000004,315.0,9.000000000000002,0.00040030479431152344,38.0
10,21.999999999999996,500.0,10.0,0.00040028095245361325,47.00000000000001
11,23.000000000000004,605.0,10.999999999999998,0.0004004478454589844,60.0
12,26.000000000000004,642.9999999999999,11.999999999999998,0.0004004478454589844,69.0
13,23.000000000000004,707.9999999999999,13.000000000000002,0.0005005359649658203,82.99999999999999
14,33.0,576.0000000000001,14.000000000000002,0.0006006479263305664,90.0
15,31.000000000000007,1066.0,15.0,0.0008008003234863282,105.0
16,40.0,942.0000000000002,15.999999999999998,0.0009007453918457033,117.00000000000001
17,40.0,937.0000000000002,16.999999999999996,0.0010008811950683594,130.99999999999997
18,42.99999999999999,921.0000000000001,18.000000000000004,0.0011010885238647461,154.00000000000003
19,42.00000000000001,851.0000000000001,19.0,0.0013011455535888669,160.99999999999997
20,52.99999999999999,1097.0000000000002,20.0,0.0018017530441284183,178.00000000000003
21,51.00000000000001,1047.0000000000002,21.000000000000004,0.001901721954345703,200.0
22,58.99999999999999,991.0000000000001,21.999999999999996,0.002101874351501465,225.99999999999997
23,58.99999999999999,1167.0000000000002,23.000000000000004,0.0023021936416625977,255.99999999999997
24,55.0,1555.9999999999998,23.999999999999996,0.0017018556594848634,266.99999999999994
25,67.99999999999999,1085.0,25.0,0.002502298355102539,293.00000000000006
26,72.00000000000001,1302.0000000000002,26.000000000000004,0.0028024196624755857,323.99999999999994
27,85.0,1329.0000000000002,26.999999999999996,0.003603267669677734,346.99999999999994
28,87.99999999999999,1332.9999999999998,28.000000000000004,0.003403139114379883,380.0
29,90.99999999999999,1552.9999999999998,28.999999999999993,0.003404712677001953,405.0
30,92.99999999999999,1572.0000000000002,30.0,0.004004621505737305,431.0000000000001
31,105.99999999999999,1604.0000000000002,31.000000000000007,0.004803156852722168,461.0000000000001
32,102.00000000000001,1682.9999999999998,31.999999999999996,0.0053039312362670905,496.99999999999994
33,97.00000000000001,1575.0,33.0,0.004604315757751465,527.0
34,92.99999999999999,1830.9999999999995,33.99999999999999,0.00420370101928711,556.0000000000001
35,109.00000000000003,1850.0,35.0,0.004904484748840332,587.0
36,110.0,1895.9999999999995,36.00000000000001,0.005805349349975586,628.9999999999999
37,119.00000000000003,1735.0,37.0,0.007506394386291505,666.0000000000001
38,129.00000000000003,1607.0000000000002,38.0,0.00670609474182129,701.0000000000001
39,125.0,2037.0000000000002,38.99999999999999,0.007106089591979981,736.0000000000001
40,145.0,1845.9999999999995,40.0,0.009508609771728516,767.9999999999999
41,171.99999999999997,2457.0,41.00000000000001,0.009509468078613281,812.9999999999999
42,176.99999999999997,1980.0,42.00000000000001,0.011610698699951173,853.9999999999999
43,171.99999999999997,2132.0,42.99999999999999,0.01081070899963379,893.9999999999999
44,184.00000000000003,2320.0,43.99999999999999,0.011310482025146484,936.0000000000001
45,174.00000000000003,2450.0,45.0,0.011810708045959474,980.0
46,168.00000000000003,2105.0,46.00000000000001,0.011610603332519532,1015.0
47,190.0,2518.0,47.00000000000001,0.01421389579772949,1066.0
48,195.99999999999997,2315.9999999999995,47.99999999999999,0.013911914825439454,1105.0
49,210.99999999999997,2310.0,48.99999999999999,0.015013670921325682,1149.0
50,205.99999999999997,2355.0,50.0,0.015714192390441896,1205.0
51,229.00000000000003,2480.0,51.00000000000001,0.01741571426391602,1252.9999999999998
52,243.00000000000006,2610.9999999999995,52.00000000000001,0.01871809959411621,1287.9999999999998
53,245.99999999999997,2405.9999999999995,52.99999999999999,0.020319199562072753,1337.9999999999998
54,250.99999999999997,2590.9999999999995,53.99999999999999,0.019516921043395995,1384.0000000000002
55,281.0,2945.9999999999995,55.0,0.02242031097412109,1442.0000000000002
56,291.99999999999994,2886.9999999999995,56.00000000000001,0.0254239559173584,1490.0
57,268.00000000000006,2600.9999999999995,57.000000000000014,0.025522851943969728,1544.0000000000002
58,284.0,2735.0,57.999999999999986,0.02632389068603515,1597.0000000000002
59,325.0,3063.0000000000005,58.99999999999999,0.03022756576538086,1655.0
60,316.99999999999994,2691.9999999999995,60.0,0.031327533721923824,1715.9999999999995
61,330.0,3166.9999999999995,61.00000000000001,0.031528592109680176,1777.9999999999998
62,316.99999999999994,3176.9999999999995,62.000000000000014,0.031228280067443846,1837.9999999999998
63,326.00000000000006,2606.9999999999995,62.999999999999986,0.033130192756652826,1909.0000000000005
64,308.00000000000006,3443.000000000001,63.99999999999999,0.03232958316802979,1964.0000000000005
65,326.00000000000006,3226.9999999999995,65.0,0.035131978988647464,2034.0000000000005
66,353.00000000000006,3085.9999999999995,66.0,0.04013612270355225,2094.0000000000005
67,323.99999999999994,3544.0000000000005,67.00000000000001,0.03633296489715576,2159.0000000000005
68,309.0,3580.9999999999995,67.99999999999999,0.03683240413665771,2233.0
69,366.99999999999994,3733.000000000001,69.0,0.04654207229614258,2303.0
70,353.00000000000006,3635.0,70.0,0.0445401906967163,2375.0
