n,iterations,weight,no_vertices,time,n_edges
2,0.9999999999999999,72.99999999999999,0.9999999999999999,0.0,0.9999999999999999
3,2.9999999999999996,80.99999999999999,1.9999999999999998,0.0,1.9999999999999998
4,9.000000000000002,97.99999999999999,2.9999999999999996,0.0,5.0
5,25.0,291.0,5.0,0.0,10.999999999999998
6,36.00000000000001,448.9999999999999,5.999999999999999,0.0,18.000000000000004
7,48.99999999999999,328.00000000000006,7.000000000000001,0.00010004043579101563,23.000000000000004
8,63.99999999999999,348.99999999999994,7.999999999999999,0.00010008811950683594,28.000000000000004
9,80.99999999999999,315.0,9.000000000000002,0.00030040740966796875,38.0
10,100.0,500.0,10.0,0.0003002405166625977,47.00000000000001
11,120.99999999999997,605.0,10.999999999999998,0.0005004644393920899,60.0
12,144.00000000000003,642.9999999999999,11.999999999999998,0.00040049552917480473,69.0
13,169.00000000000003,707.9999999999999,13.000000000000002,0.0006004810333251953,82.99999999999999
14,195.99999999999997,576.0000000000001,14.000000000000002,0.0008006572723388671,90.0
15,225.0,1066.0,15.0,0.0009006977081298829,105.0
16,255.99999999999997,942.0000000000002,15.999999999999998,0.0011010169982910156,117.00000000000001
17,289.0,937.0000000000002,16.999999999999996,0.0015014410018920898,130.99999999999997
18,323.99999999999994,921.0000000000001,18.000000000000004,0.0021018266677856447,154.00000000000003
19,361.00000000000006,851.0000000000001,19.0,0.0023020982742309576,160.99999999999997
20,400.0,1097.0000000000002,20.0,0.0024021148681640627,178.00000000000003
21,441.0000000000001,1047.0000000000002,21.000000000000004,0.003603291511535645,200.0
22,483.9999999999999,991.0000000000001,21.999999999999996,0.003803491592407226,225.99999999999997
23,528.9999999999999,1167.0000000000002,23.000000000000004,0.005004501342773437,255.99999999999997
24,576.0000000000001,1555.9999999999998,23.999999999999996,0.005104398727416992,266.99999999999994
25,625.0,1085.0,25.0,0.0051043033599853516,293.00000000000006
26,676.0000000000001,1302.0000000000002,26.000000000000004,0.0073064565658569345,323.99999999999994
27,728.9999999999999,1329.0000000000002,26.999999999999996,0.007306623458862306,346.99999999999994
28,783.9999999999999,1332.9999999999998,28.000000000000004,0.008107399940490723,380.0
29,841.0000000000001,1552.9999999999998,28.999999999999993,0.008507061004638671,405.0
30,900.0,1572.0000000000002,30.0,0.009907889366149902,431.0000000000001
31,961.0000000000001,1604.0000000000002,31.000000000000007,0.012512779235839844,461.0000000000001
32,1023.9999999999999,1682.9999999999998,31.999999999999996,0.013813638687133789,496.99999999999994
33,1089.0,1575.0,33.0,0.015213680267333983,527.0
34,1156.0,1830.9999999999995,33.99999999999999,0.017015552520751952,556.0000000000001
35,1225.0,1850.0,35.0,0.016715073585510252,587.0
36,1295.9999999999998,1895.9999999999995,36.00000000000001,0.021219587326049803,628.9999999999999
37,1369.0000000000002,1735.0,37.0,0.02252216339111328,666.0000000000001
38,1444.0000000000002,1607.0000000000002,38.0,0.024622392654418946,701.0000000000001
39,1520.9999999999998,2037.0000000000002,38.99999999999999,0.02812504768371582,736.0000000000001
40,1600.0,1845.9999999999995,40.0,0.028125548362731935,767.9999999999999
41,1680.9999999999998,2457.0,41.00000000000001,0.03142783641815186,812.9999999999999
42,1764.0000000000005,1980.0,42.00000000000001,0.0379352331161499,853.9999999999999
43,1849.0000000000005,2132.0,42.99999999999999,0.04073688983917236,893.9999999999999
44,1935.9999999999995,2320.0,43.99999999999999,0.04243853092193603,936.0000000000001
45,2025.0,2450.0,45.0,0.04564144611358643,980.0
46,2115.9999999999995,2105.0,46.00000000000001,0.05034558773040771,1015.0
47,2209.0000000000005,2518.0,47.00000000000001,0.05544934272766113,1066.0
48,2304.0000000000005,2315.9999999999995,47.99999999999999,0.061556482315063485,1105.0
49,2400.9999999999995,2310.0,48.99999999999999,0.0636582612991333,1149.0
50,2500.0,2355.0,50.0,0.06786274909973145,1205.0
51,2600.9999999999995,2480.0,51.00000000000001,0.07116482257843017,1252.9999999999998
52,2704.0000000000005,2610.9999999999995,52.00000000000001,0.08257412910461426,1287.9999999999998
53,2809.0000000000005,2405.9999999999995,52.99999999999999,0.08267378807067871,1337.9999999999998
54,2915.9999999999995,2590.9999999999995,53.99999999999999,0.09248416423797606,1384.0000000000002
55,3025.0,2945.9999999999995,55.0,0.09428563117980959,1442.0000000000002
56,3135.9999999999995,2886.9999999999995,56.00000000000001,0.10679702758789063,1490.0
57,3249.0000000000005,2600.9999999999995,57.000000000000014,0.10769820213317871,1544.0000000000002
58,3364.0000000000005,2735.0,57.999999999999986,0.11980936527252198,1597.0000000000002
59,3480.9999999999995,3063.0000000000005,58.99999999999999,0.12571444511413574,1655.0
60,3600.0,2691.9999999999995,60.0,0.1347224473953247,1715.9999999999995
61,3720.9999999999995,3166.9999999999995,61.00000000000001,0.15003633499145508,1777.9999999999998
62,3844.0000000000005,3176.9999999999995,62.000000000000014,0.15764372348785402,1837.9999999999998
63,3969.0000000000005,2606.9999999999995,62.999999999999986,0.16344830989837647,1909.0000000000005
64,4095.9999999999995,3443.000000000001,63.99999999999999,0.17235703468322752,1964.0000000000005
65,4225.0,3226.9999999999995,65.0,0.1789628744125366,2034.0000000000005
66,4356.0,3085.9999999999995,66.0,0.19487726688385013,2094.0000000000005
67,4489.0,3544.0000000000005,67.00000000000001,0.20668833255767824,2159.0000000000005
68,4624.0,3580.9999999999995,67.99999999999999,0.21960024833679198,2233.0
69,4761.0,3733.000000000001,69.0,0.2340125799179077,2303.0
70,4900.0,3635.0,70.0,0.24151988029479982,2375.0
71,5041.0,3511.999999999999,71.0,0.25933539867401123,2445.0
